1,H,Hydrogen,1.008,0.00008988,14.01,20.28
2,He,Helium,4.002602,0.0001785,-,4.22
3,Li,Lithium,6.94,0.534,453.69,1560
4,Be,Beryllium,9.0121831,1.85,1560,2742
5,B,Boron,10.81,2.34,2349,4200
6,C,Carbon,12.011,2.267,3800,4300
7,N,Nitrogen,14.007,0.0012506,63.15,77.36
8,O,Oxygen,15.999,0.001429,54.36,90.2
9,F,Fluorine,18.998403163,0.001696,53.53,85.03
10,Ne,Neon,20.1797,0.0008999,24.56,27.07
11,Na,Sodium,22.98976928,0.971,370.87,1156
12,Mg,Magnesium,24.305,1.738,923,1363
13,Al,Aluminium,26.9815385,2.698,933.47,2792
14,Si,Silicon,28.085,2.3296,1687,3538
15,P,Phosphorus,30.973761998,1.82,317.3,550
16,S,Sulfur,32.06,2.067,388.36,717.87
17,Cl,Chlorine,35.45,0.003214,171.6,239.11
18,Ar,Argon,39.948,0.0017837,83.8,87.3
19,K,Potassium,39.0983,0.862,336.53,1032
20,Ca,Calcium,40.078,1.54,1115,1757
21,Sc,Scandium,44.955908,2.989,1814,3109
22,Ti,Titanium,47.867,4.54,1941,3560
23,V,Vanadium,50.9415,6.11,2183,3680
24,Cr,Chromium,51.9961,7.15,2180,2944
25,Mn,Manganese,54.938044,7.44,1519,2334
26,Fe,Iron,55.845,7.874,1811,3134
27,Co,Cobalt,58.933194,8.86,1768,3200
28,Ni,Nickel,58.6934,8.912,1728,3186
29,Cu,Copper,63.546,8.96,1357.77,2835
30,Zn,Zinc,65.38,7.134,692.88,1180
31,Ga,Gallium,69.723,5.907,302.9146,2673
32,Ge,Germanium,72.630,5.323,1211.4,3106
33,As,Arsenic,74.921595,5.776,1090,887
34,Se,Selenium,78.971,4.809,453,958
35,Br,Bromine,79.904,3.122,265.8,332
36,Kr,Krypton,83.798,0.003733,115.79,119.93
37,Rb,Rubidium,85.4678,1.532,312.46,961
38,Sr,Strontium,87.62,2.64,1050,1655
39,Y,Yttrium,88.90584,4.469,1799,3609
40,Zr,Zirconium,91.224,6.506,2128,4682
41,Nb,Niobium,92.90637,8.57,2750,5017
42,Mo,Molybdenum,95.95,10.22,2896,4912
43,Tc,Technetium,[98],11.5,2430,4538
44,Ru,Ruthenium,101.07,12.37,2607,4423
45,Rh,Rhodium,102.90550,12.41,2237,3968
46,Pd,Palladium,106.42,12.02,1828.05,3236
47,Ag,Silver,107.8682,10.501,1234.93,2435
48,Cd,Cadmium,112.414,8.69,594.22,1040
49,In,Indium,114.818,7.31,429.75,2345
50,Sn,Tin,118.710,7.287,505.08,2875
51,Sb,Antimony,121.760,6.685,903.78,1860
52,Te,Tellurium,127.60,6.232,722.66,1261
53,I,Iodine,126.90447,4.93,386.85,457.4
54,Xe,Xenon,131.293,0.005887,161.4,165.03
55,Cs,Caesium,132.90545196,1.873,301.59,944
56,Ba,Barium,137.327,3.594,1000,2170
57,La,Lanthanum,138.90547,6.145,1193,3737
58,Ce,Cerium,140.116,6.77,1068,3716
59,Pr,Praseodymium,140.90766,6.773,1208,3793
60,Nd,Neodymium,144.242,7.007,1297,3347
61,Pm,Promethium,[145],7.26,1315,3273
62,Sm,Samarium,150.36,7.52,1345,2067
63,Eu,Europium,151.964,5.243,1099,1802
64,Gd,Gadolinium,157.25,7.895,1585,3546
65,Tb,Terbium,158.92535,8.229,1629,3503
66,Dy,Dysprosium,162.500,8.55,1680,2840
67,Ho,Holmium,164.93033,8.795,1734,2993
68,Er,Erbium,167.259,9.066,1802,3141
69,Tm,Thulium,168.93422,9.321,1818,2223
70,Yb,Ytterbium,173.045(10),6.965,1097,1469
71,Lu,Lutetium,174.9668,9.84,1925,3675
72,Hf,Hafnium,178.49,13.31,2506,4876
73,Ta,Tantalum,180.94788,16.654,3290,5731
74,W,Tungsten,183.84,19.25,3695,5828
75,Re,Rhenium,186.207,21.02,3459,5869
76,Os,Osmium,190.23,22.61,3306,5285
77,Ir,Iridium,192.217,22.56,2719,4701
78,Pt,Platinum,195.084,21.46,2041.4,4098
79,Au,Gold,196.966569,19.282,1337.33,3129
80,Hg,Mercury,200.592,13.5336,234.43,629.88
81,Tl,Thallium,204.38,11.85,577,1746
82,Pb,Lead,207.2,11.342,600.61,2022
83,Bi,Bismuth,208.98040,9.807,544.7,1837
84,Po,Polonium,[209],9.32,527,1235
85,At,Astatine,[210],7,575,610
86,Rn,Radon,[222],0.00973,202,211.3
87,Fr,Francium,[223],1.87,300,950
88,Ra,Radium,[226],5.5,973,2010
89,Ac,Actinium,[227],10.07,1323,3471
90,Th,Thorium,232.0377,11.72,2115,5061
91,Pa,Protactinium,231.03588,15.37,1841,4300
92,U,Uranium,238.02891,18.95,1405.3,4404
93,Np,Neptunium,[237],20.45,917,4273
94,Pu,Plutonium,[244],19.84,912.5,3501
95,Am,Americium,[243],13.69,1449,2880
96,Cm,Curium,[247],13.51,1613,3383
97,Bk,Berkelium,[247],14.79,1259,2900
98,Cf,Californium,[251],15.1,1173,-1743
99,Es,Einsteinium,[252],8.84,1133,-1269
100,Fm,Fermium,[257],-9.7,-1125,-
101,Md,Mendelevium,[258],-10.3,-1100,-
102,No,Nobelium,[259],-9.9,-1100,-
103,Lr,Lawrencium,[266],-15.6,-1900,-
104,Rf,Rutherfordium,[267],-23.2,-2400,-5800
105,Db,Dubnium,[268],-29.3,-,-
106,Sg,Seaborgium,[269],-35,-,-
107,Bh,Bohrium,[270],-37.1,-,-
108,Hs,Hassium,[277],-40.7,-,-
109,Mt,Meitnerium,[278],-37.4,-,-
110,Ds,Darmstadtium,[281],-34.8,-,-
111,Rg,Roentgenium,[282],-28.7,-,-
112,Cn,Copernicium,[285],-23.7,-,~357
113,Nh,Nihonium,[286],-16,-700,-1400
114,Fl,Flerovium,[289],-14,-,~210
115,Mc,Moscovium,[290],-13.5,-700,-1400
116,Lv,Livermorium,[293],-12.9,-709,-1085
117,Ts,Tennessine,[294],-7.2,-723,-883
118,Og,Oganesson,[294],-5,-,-350
